ham,@rinnxofficial オソロする( ・∀・)！🐊
spam,@rinnxofficial はーあ…🤦🏼‍♀️
ham,@rinnxofficial 酷いですね😵💔
ham,@rinnxofficial 使徒を⁉️育成⁉️
spam,@rinnxofficial 非常識❗️極まりない‼️😡
spam,@rinnxofficial こんな人がバスツアーに参加されていたんですね。。
spam,@rinnxofficial ダイタクだったらいーやって笑笑 出品者はなんでこんなことするんだか、、
spam,@rinnxofficial 悲しい😢
ham,@rinnxofficial え！！ ひどい(　˙-˙　)  その前に カッターで切り取った色紙 購入する人居るの(°_°)？？
spam,@rinnxofficial 怖っ…😨 平気でこういう事が出来ちゃうのが信じられない…。
ham,@rinnxofficial 悲しい
ham,@rinnxofficial  Da-iCEさんとのコラボ曲、歌ってみました！ どうですか？？ https://t.co/v0PpUtLMkn
ham,@rinnxofficial これは酷い🙀
spam,@rinnxofficial サインを売るのも分からないけどわざわざ切り取らなくても良いと思う😣💦
ham,@rinnxofficial ダイタクさん😂 サインで儲けようという考えがもう引くのに 切るとかもう悲しすぎ😇
ham,@rinnxofficial いや待って！色紙切ったやつ初めて見たわ✂️
spam,@rinnxofficial いらないなら捨ててもらった方がまだマシ。 他者の力で金儲けしようとしないで。
ham,@rinnxofficial 読みましたよん💖 載せてる写真はレインボーブリッジ🌈ですね‼️ アペプラで東京アラート解除で色が変わる瞬間EXITと一緒に見れて嬉しかったー💖
spam,@rinnxofficial どの世代でもカラフルマスクが主流になってるから、プレゼントにも喜ばれそう！
ham,@rinnxofficial お家でEXIEEE着てEXITのTV見るのね🥰 好きな人とお揃い！ ファンでいれて幸せ🍓
ham,@rinnxofficial めちゃめちゃひどい……………
ham,@rinnxofficial 可愛い！早く買いたい！！
spam,@rinnxofficial ひどいー。こんな事する人おるんやね。 そして、意外に高いのね。
spam,@rinnxofficial これはビックリ‼️ 書いてくれた芸人さん悲しいだろうな。せっかく当たったのに出品するなんて。。
spam,@rinnxofficial 酷い、、、
spam,@rinnxofficial ほんとに悲しいよ😢 私なんか喉から手が出るほど欲しいのに…
ham,@rinnxofficial 鬼滅のやつは予約しました💓 りんたろーさんまだ読んでなければ、是非鬼滅の刃読んで欲しいです🥺💕
spam,@rinnxofficial 最低だよね
ham,@rinnxofficial おそろコーデしましょ(●˃̶͈̀ロ˂̶͈́)੭ꠥ
ham,@rinnxofficial 可愛い💓買いますっ！！
ham,@rinnxofficial ダイタクさんとの当たって1番下に何月何日BBQってついてました〜 すごいことしますね、、
ham,@rinnxofficial 親友だからって😅💦ダイタクさんも大事ですょ  しかしこんなことする人がみえるんですね！せっかくの記念なのに･･･
ham,@rinnxofficial かわいそうというか酷すぎます😠
ham,@rinnxofficial ん？？んん？？？？？ 色紙を切り取って出品してるの？？  どーゆう神経してんだコイツ？？ りんたろーさん、どうやってコレ見つけてきたんだろう💦
spam,@rinnxofficial ダイタクさんの時参加したけど、サイン色紙はなかったよね⁉️ どちらにしても、サイン色紙切り取るなんて初耳😡😳 やってる意味がわからない…😭
spam,@rinnxofficial ひどい、、欲しくたってもらえない方もいるのに😭
spam,@rinnxofficial 酷すぎる。 本当に良くないやつだ！😑
ham,@rinnxofficial 削除されてました👍
spam,@rinnxofficial こんなの本当に欲しい？ 半分切り取られたサイン色紙なんかいらない。 価値無し。 一生大切に自分で持ってたらいいのに。 売る方も買う方も理解できない。
ham,@rinnxofficial 良くないよ🙅‍♀️‼️ チャランネルでもあったけど、ダメなやつ🆖🙅‍♀️🙅🏾‍♀️🙅🏻‍♀️
spam,@rinnxofficial かなしいし、ひどい😢どうしてこんなこと、できるのかな。売れないでほしいし、出品取り下げてほしいですね💨
ham,@rinnxofficial カットした理由がめちゃくちゃ気になる！！！！🥺
spam,@rinnxofficial 何かやり方が気に食わないな…
ham,@rinnxofficial ダイタクでもよくない😭 こんな悲しい事ってないですよね、誰も買わないでほしい… 名前入りでいただいたのなら尚更宝物にするのになぁ
ham,@rinnxofficial 削除されていました。 ２度と起きないといいのですが…
ham,@rinnxofficial 商品削除されましたねw
ham,@rinnxofficial 失礼だし酷いですね💦
spam,@rinnxofficial 悲しいな😢
spam,@rinnxofficial 嘘でしょ、、、
ham,@rinnxofficial ファンのためにと考えたEXIT、だいたくさん、きつねさん、スタッフさんが可哀想だし、本当にやめてほしい💦 ご好意でやってくれてるのに。フリマに出すのもありえないけどEXIT以外の出演者のサインを切り取るなんて有り得ない💦ひどいー💦
