ham,俺が経験者に…してやろか…？
spam,日和くんと茨の組み合わせのファンサ、頻度がそう高くないので1回の威力が凄そう
spam,明るいアイコンしか使えない。Twitterは俺が脅して開けさせた
spam,どういうことなん?
spam,エゴサレベルバグってんだろ
spam,ハメ撮りの提供を断りました(今月4回目) ハメ撮りでエロいの見た事ないので
spam,「成功者は18〜19、遅くても22までには頭角を現している。20過ぎてもやりたいことがないとかほざいてる奴は墓場でも同じこと言ってるんですよ」
spam,たまにエゴサするんだけど九割九分九厘自分のツイートしか出てこない。
ham,自分の声好きじゃないから声好きって言ってもらえるのうれＣ
spam,ナミ、エッチなニキビ着ないで
spam,面白い人間は好きだけど、「おつかれさま」と言って「疲れてないけどね」と返す奴は嫌いです。主に僕が言います。
spam,最近はありがたい事に色んな人と話す機会が増えてきました 正直な話高校の時は友達は1人2人で人と話す事が本当に苦手でした。 ですが出来る事が増えていき、自分に自信が付き、少しずつ人と話せるように！ 今では人とお話しする事が僕のいちはの学びになっています！ 良かったら僕とお話して下さい
spam,授業終了10分前で遅刻扱いにしてもらえる世界線、好きですよ。
spam,歩いて行ける距離に二郎ある人羨ましすぎる
ham,自分で面白いなと思ったツイートリプ欄に貼ってって
ham,この垢使わなくなるかもなのでこっちフォローください
ham,アイくるの映画DVDコロナ落ち着いたらかえるかな
ham,たぶん4、5歳だった気がするな 今でも歌えたもんｗ ぐ～チョコランタンで育ったみたいなもんよ
spam,このリンクをタップして、段ボール大作戦とブロスタでフレンドになりましょう！
ham,夏が近づいて来ました。 嫁迫から素麺のリクエストが増えてきたので、アレンジを考えねば。 これはほんまに美味しいやつです。 ていうか、前世イタリア人のはずやねんけどなー
spam,初めて会った時、お互い二十代でお互いが「コイツ、生意気だな！腹立つな！」と思ってました。 三十代、お互い「赤いきつねと緑のたぬき」のCM出演しました。 四十代、まぁとにかく一緒に呑みました。 五十代、この男のYouTubeに出演しました。 くされ縁⁈ 感謝してますよ。
spam,毎週時事ネタを徹底解説、全ての質問に月880円で答えるお得な私の有料メールマガジンはこちらから登録->
ham,こちらは週一で質問答える動画配信もついてます->
ham,インターステラテクノロジズでは技術者大募集。特に回転機械系エンジニア募集中です。
spam,自社所有の航空機から射場を空撮しております！
spam,ベビタッピン！ 久しぶりのタピオカドリンク。自家製タピオカで美味しいんだな〜これが♪
spam,うーん、なやんでるたーるじんだしん
spam,あーん、お風呂で寝ちゃってたしん！寝ちゃってるたーるじん！！
spam,クロちゃんなんかよりもっと悩んでる人いてるから
ham,糖分を消費するからってガリガリ君食うなよ？
ham,悩みなんてあるの？
spam,あーん自家製タピ汚カ‼️ https://t.co/HWWxQNaXck
ham,@kurochan96wawa そんなことより、早よ右目アロンアルファでくっつけろや！
spam,@kurochan96wawa ふじ○んに怒られろ‼️🐷
spam,@kurochan96wawa 糖尿病患者が嬉しそうに飲むなや( ;´･ω･`)
ham,@kurochan96wawa おいしそう
ham,@kurochan96wawa もったいない
ham,@kurochan96wawa クロちゃんかわいい😆😆タピオカは好きじゃないけど😰
ham,@kurochan96wawa 糖尿大丈夫？
ham,@kurochan96wawa https://t.co/lXPQfh9wYe
ham,@kurochan96wawa タピオカ飲んでもっと太れ！
ham,@kurochan96wawa タピオカドリンク飲んだら運動たくさんしてくださいねd('∀'*)
spam,@kurochan96wawa 語尾のしんつけんのかい！しん
spam,@kurochan96wawa 今クロちゃんの血液に20個以上の角砂糖分の糖分が入りましたーー！
spam,@kurochan96wawa タピオカ喉に詰まらせていいよ👍
ham,@kurochan96wawa そんな量飲めるん？どうみても３リットルはあるぞ
ham,@kurochan96wawa いちいちウインクしないと、撮影できねーのかお前は💢💥💢💥💢💥💢💥💢お前の神経どうなってるの💢💥💢💥💢(´ヘ｀;)お前の神経の事を言ってるんだぞ💢💥💢💥💢💥💢
ham,@kurochan96wawa https://t.co/1BWn9tyMfL
ham,@kurochan96wawa よっ！糖尿病ハゲ
ham,@kurochan96wawa (´-ω-`) https://t.co/x0wacSWqqK
ham,@kurochan96wawa 糖尿病の黒川さんですよね？
spam,@kurochan96wawa なんかストロー長くない？
spam,@kurochan96wawa 渡部からすると、クロちゃんがまともに見えるのは気のせいか？？
ham,@kurochan96wawa なんなのぉー(; ;)
spam,@kurochan96wawa クロちゃんは、ペットボトルで飲んでください。
spam,@kurochan96wawa 糖分大好き黒川さん。
ham,@kurochan96wawa おいっ 黒川 シャレタ物を 飲んでるな～でも お前には 似合わないぞ https://t.co/K4CIknuf1l
ham,@kurochan96wawa それn
ham,@kurochan96wawa 糖尿病悪化進行中。
spam,@kurochan96wawa 時代に取り残されたサイコパス
ham,@kurochan96wawa https://t.co/Wmn3QfImQf
ham,@kurochan96wawa 甘い甘いおじゅーちゅ飲んでたまだまだ太るしんよー♪
spam,@kurochan96wawa そのまま糖尿を悪化させて地獄へ行ってらっしゃい。 https://t.co/tLibbnpeCP
ham,@kurochan96wawa クロちゃんほど、タピオカが似合わないオジサン初めてだわ‼️(笑)
ham,@kurochan96wawa おでん一ヶ月やれ
ham,@kurochan96wawa 甘い物一杯摂取しましょう！
ham,誰が何言おうと沢山食べ飲みましょう！
ham,カロリーも沢山取りましょう！
ham,人生一度きりだから！
spam,@kurochan96wawa もうタピオカ流行ってないぞ。
ham,@kurochan96wawa 知らん
spam,@kurochan96wawa 気持ち悪いしん
spam,@kurochan96wawa ただ太るだけしん
ham,@kurochan96wawa どうしてもお前のイケメン顔に目がいってしまう❗もうちょっとブサイクになれよ❗タピオカ頭❗
spam,@kurochan96wawa もっと肥えろ豚 https://t.co/uygppK9ekr
ham,@kurochan96wawa 素敵💓
ham,@kurochan96wawa 私も飲んだけど…真似したな？w
ham,@kurochan96wawa カエルの卵みたいできしょいからタピオカは好かんｗｗｗ
ham,@kurochan96wawa ってゆーてますけど
ham,@kurochan96wawa 高カロリー飲んで脂肪蓄積か ((ﾉ∀｀)･ﾟ･｡ ｱﾋｬﾋｬﾋｬﾋｬ
spam,@kurochan96wawa ベビタッピンがなんだから知りませんが、今日の炭水化物の間食はタピオカですね🐖 まだ流行りの炭水化物、糖分もたっぷりで美味しいですか？
spam,@kurochan96wawa 黒川さんはクソつまらないんだな～これが♪
ham,@kurochan96wawa まず外出るときはマスクしようなyo！say！になるぞ！
ham,@kurochan96wawa コップが歪んでおる
spam,@kurochan96wawa タピオカ＋汚じさん久しぶりに見た
ham,@kurochan96wawa ダイエットするんじゃなかったっけ？
spam,@kurochan96wawa タピオカって高カロリーって知らないバカ。 https://t.co/nWhgPKFIH2
ham,@kurochan96wawa 自家製！？ 産んだのか…！！
spam,@kurochan96wawa これでも飲んどけ💢 https://t.co/2iUCqY3XYv
ham,@kurochan96wawa ザリガニ だから カエルの卵？
ham,@kurochan96wawa おいしそーです😊💕
ham,@kurochan96wawa タピオカの擬人化
ham,@kurochan96wawa オヤジ、オヤジ❗️楽しいか？ デンプン中年❗️
spam,まじでこの動画みて親に死ねなんて言わないって決めた
spam,怒ったとき死ねって言う茨かわいい
spam,親死ねマジで死ね
spam,なんで私が処女やねん！ セックス経験者死ね！死ね！
spam,その点、ごちゃごちゃと現代社会っぽい文句垂らす前に「解釈違いだ死ね」でさっくり暗殺者送ってくる一部イスラムは潔いよな。これぞ信仰
